Math Score,English Score,Ukrainian Score,Privileged,Rating,Admitted
200.0,162.92313404836923,109.99973163327896,0,161.87685970449445,True
162.0047162510167,145.50325224800582,161.0335203276089,0,156.7629182730911,False
179.36213952317215,119.81889426238826,108.35299503990412,0,140.19642259995655,False
200.0,125.353505231906,72.74392119692203,0,139.4292279286484,False
200.0,103.55237031452872,124.9168318688571,0,148.54076065501573,False
120.68166360370768,165.95923917021574,159.93277264465195,0,146.04026898594338,False
178.50265252576767,187.8170653512645,141.90356599290106,0,170.31725041355674,True
145.45928375106905,146.98819489795903,188.01392821860213,0,158.68435043539597,False
146.90343444619327,137.9895355495973,155.51260486295067,0,146.81201590224168,False
162.31795505815117,105.83031214600533,127.01071044158758,0,134.77948879953834,False
154.32130713482633,177.3960577275653,136.8124934856152,0,155.99108821788468,False
193.62820520888928,200.0,106.90375922192464,0,169.5224098501331,True
172.8311317544098,96.07632586899308,182.57391674117792,0,152.72752548481523,False
153.65025049478484,118.0970118553618,108.56699741751127,0,129.45930297977586,False
163.31589698236277,129.61220872367568,122.38777103642192,0,140.9263527209744,False
160.010229821228,133.07046270952532,145.19141338714115,0,147.48265475749113,False
194.8223721947282,156.82037850430444,150.07059793472467,0,169.99624180960004,True
143.84525208702598,198.42748641840683,104.92048909470633,0,148.54249348874433,False
159.39203104952705,180.2579186058031,122.83392614341514,0,154.6843658445763,False
124.37712782094826,165.8279214832295,157.95121806717955,0,146.88459299350203,False
73.41030552497764,128.28213887824194,183.89170076990985,1,123.01627410443659,False
169.60855786321082,116.41115298958636,160.47010686270525,0,150.90780110097182,False
175.93308596578518,126.09674081081096,149.22570715227437,0,152.9699687752397,False
127.73504938780674,196.44200404136217,103.12773798389608,1,140.96494236270019,False
200.0,148.14770095626298,131.47972960343728,1,163.88822916791008,True
106.36902976203706,136.59491239012135,165.64482723933162,0,133.2195337936507,False
151.37275551904338,144.48732809250023,182.42840009564665,0,158.6238206640614,False
144.38448449922498,174.73854658915403,176.68127724465762,0,163.1797409498335,True
195.9833764307537,110.61450976350623,154.1421493333682,0,157.82034830136382,False
194.08076309700851,192.44622407767267,186.13801399947533,0,191.20757666194783,True
154.6484227709075,154.69428770838897,200.0,0,168.2676554208797,True
161.3448755880652,143.5096806511282,132.18414253851935,0,147.24609719212035,False
123.36642757109662,163.28538341240215,127.1065261396489,0,136.46414389405396,False
90.5761059532822,156.55191219389812,195.55448777339163,0,141.86236237149978,False
139.56263552021542,139.67410630597857,157.0639357615626,0,144.84646682834853,False
154.6904690731194,142.4186798387518,153.3692306528181,0,150.61256077671874,False
186.9087204218316,123.93412359402144,161.77122982977377,0,160.4750941958712,False
186.07139546353235,169.69172252577908,130.3654048444512,0,164.44569639648202,True
138.38019547776145,134.04018571766514,118.95614145748232,0,131.2509763436488,False
140.93091748273994,121.31224732703151,126.68557471355068,0,130.77171360527063,False
118.54341104798722,154.97590567960611,187.37838770493045,0,150.12365243455585,False
107.39946188463074,189.8742384823666,106.90078005946256,0,131.99229031640104,False
98.81189428124962,148.5496612866054,164.95963936945648,0,133.5775479093184,False
200.0,131.7569622914493,133.26937619923473,0,159.50790154720522,False
134.7104345474504,162.1168806250792,139.39899333853967,0,144.33893600806582,False
136.8577709516644,200.0,172.28852929825,0,166.42966717014076,True
112.4161391985022,106.44283411704758,175.31966740073688,0,129.4952061347362,False
173.32471067495732,161.4660836335588,160.2892961360081,0,165.856498200853,True
101.58306457326144,156.15259875695563,93.8064101290198,0,115.6209284950972,False
143.61779159358093,184.8460141067735,197.1289412602737,0,172.03960324754652,True
123.13600316418972,179.72727521054537,189.3058955159868,0,159.96435248363554,False
161.60707493577786,144.39872664570663,152.74310499573443,0,153.78537946674345,False
134.67584587293382,99.46448233725351,150.30773450878235,0,128.80200340298427,False
114.58103447632764,174.1969130368878,200.0,0,158.0914877015974,False
149.15453314984035,124.9442192942555,178.41672813881183,0,150.67009748985632,False
